Video Link,Primary Tag,Secondary Tag,Description,,,,,,,,
https://www.youtube.com/watch?v=6NodSJBtZqM,irrelevant,Software,freelancing business online qonto ad,,,,,,,,
https://www.youtube.com/watch?v=53xUYob6o2Q,inappropriate,Scariness,"mv - blood, abuse, initimacy, death, drinking",,,,,,,,
https://www.youtube.com/watch?v=I8dvguGONfE,child directed,Toys,ad for polly pocket showing entire toy set and its use,,,,,,,,
https://www.youtube.com/watch?v=kWgpgGMM5Zw,irrelevant,Education & Learning,"ad for sports management, showing male athletes playing sports and features of the course. study",,,,,,,,
https://www.youtube.com/watch?v=y7GxO2N-z2E,irrelevant,Fashion,"ad for eyewear, shows people in eye shop, woman cycling w sunglasses",,,,,,,,
https://www.youtube.com/watch?v=-8xuko7PTO8,child directed,Toys,"ad for monster high toys, references to show w diff characters each having a toy ",,,,,,,,
https://www.youtube.com/watch?v=L9QTT4zg6vU,irrelevant,Finance & Legal,"tax reduction advantages, guy speaking in french",,,,,,,,
https://www.youtube.com/watch?v=dOeRq9b9-uU,irrelevant,Software,openstack cloud platform,,,,,,,,
https://www.youtube.com/watch?v=fOdo1GkzZAk,child directed,Education & Learning,math and story driven ad game. shows an animation of two catoons interacting and playing together,,,,,,,,
https://www.youtube.com/watch?v=PNLjw8ZS6IU,child directed,Toys,"shows children playing at home w different toys, particularly barbies",,,,,,,,
https://www.youtube.com/watch?v=d5WnunFXMBU,irrelevant,Travel & Adventure,shows an ad about an exibition at a museum about natural history. could also be child directed but no direct hint,,,,,,,,
https://www.youtube.com/watch?v=W4KpKRAt89E,irrelevant,Fashion,"ad for uniqo clothing showing female model modelling several outfits, labelled for kids but not actually",,,,,,,,
https://www.youtube.com/watch?v=7bM14r3eP_0,irrelevant,Software,"shows ad about ecoasia, an ad about a search engine that plants trees for searches. ad shows global reach and how they go about their business",,,,,,,,
https://www.youtube.com/watch?v=7d1XSMM0Qm8,irrelevant,Parenting & Family,ad for baby pyjama set,,,,,,,,
https://www.youtube.com/watch?v=aNbVG5pilO8,irrelevant,Home and Office,interior design ad,,,,,,,,
https://www.youtube.com/watch?v=CDDaI8G4Yzg,irrelevant,Nature & Environment,real estate investing ad but features cicada in tropical environemnt,,,,,,,,
https://www.youtube.com/watch?v=6B18zyv7TCU,irrelevant,Travel & Adventure,BA business class ad,,,,,,,,
https://www.youtube.com/watch?v=-xHou2dIbY0,irrelevant,Software,ad showing an openstack cloud service with listed features,,,,,,,,
https://www.youtube.com/watch?v=tFOfWPEUaAc,irrelevant,Finance & Legal,comarch digital insurance ad,,,,,,,,
https://www.youtube.com/watch?v=Jm2FtxPupS4,irrelevant,Finance & Legal,"animated ad, but for transcash mastercard, incorrectly labelled as made for kids",,,,,,,,
https://www.youtube.com/watch?v=p0yfY5qWOBQ,irrelevant,Business & Entrepreneurship,online platform for antique collection,,,,,,,,
https://www.youtube.com/watch?v=FgmZUfDFk1Y,irrelevant,Software,airbnb software ad for ease of tourism. Aimed at adults,,,,,,,,
https://www.youtube.com/watch?v=RCSC2jGDBos,irrelevant,Finance & Legal,ad where a woman explains legal terms and conditions,,,,,,,,
