Video Link,Primary Tag,Secondary Tag,Description,
https://www.youtube.com/watch?v=jqXYWbZ5KZ4,inappropriate,Adult Suggestive Content,"shows a girl in an mv upset abt someone else in relationship, talks about infidelity, shows guy in bed w multiple girls",
https://www.youtube.com/watch?v=KrckpFsWK_A,inappropriate,Interpersonal Violence,"pak drama trailer, girl kidnapped, mature adult themes, violence",
https://www.youtube.com/watch?v=mdYeY0KjYJQ,irrelevant,Music & Performance,rap beat instrumental,
https://www.youtube.com/watch?v=uh-RASJdexM,inappropriate,Offensive language,"mv, profane romantic lyrics commenting on appearence",
https://www.youtube.com/watch?v=2QH0bKkTJ_U,irrelevant,Home and Lifestyle,kitchen appliances,
https://www.youtube.com/watch?v=Izl2dIW8f-E,inaudible,Different Language,punjabi romantic song ,
https://www.youtube.com/watch?v=TjxskTJd9eM,irrelevant,Software,ad fr viam robotics,
https://www.youtube.com/watch?v=NaotC-px9Fo,inappropriate,Adult Suggestive Content,"romantic lyrics, no explicit activity",
https://www.youtube.com/watch?v=Tqd67GuwTxQ,irrelevant,Music & Performance,music video for a sports collection promo,
https://www.youtube.com/watch?v=GIGG71EXHaY,irrelevant,Tech & Gadgets,samsung ad for the freestyle challenge,
https://www.youtube.com/watch?v=APuoOZsahqw,irrelevant,Gaming & Entertainment,satirical meme type video?,
https://www.youtube.com/watch?v=OEXEKSJH360,irrelevant,Business & Entrepreneurship,real estate property sale,
https://www.youtube.com/watch?v=ZDul1_8lLvg,child directed,Cooking and Food,ad on milk product aimed for children,
https://www.youtube.com/watch?v=9neRRdw6d0A,inappropriate,Explicit Explicit Sexual Content,"sikh song which shows sikh history, diff langauge not understood but shows a picture of 2 men kissing ",
https://www.youtube.com/watch?v=lLQs7sfJXTw,irrelevant,Food and Cooking,tapal ad for umrah lottery,
https://www.youtube.com/watch?v=Gl3Kw8Zu1jY,inaudible,Different Language,"song in some other lang, girl singing in arabic",
https://www.youtube.com/watch?v=MZftpVXlkn8,irrelevant,Software,liquid ui tech ad ,
https://www.youtube.com/watch?v=AE9BTVpyuuQ,inappropriate,Display of weapons,"music video of a song. video based on historical depictions of the middle east, however, does contain people waving around swords in an instigating manner",
https://www.youtube.com/watch?v=6GyoK-T6qMs,irrelevant,Travel & Adventure,us immigration guide,
https://www.youtube.com/watch?v=kiCo1Fnl2Mc,irrelevant,Travel & Adventure,egypt vlog,
https://www.youtube.com/watch?v=nxsgvdqhMJk,irrelevant,Home and Office,sale for aarp membership,
https://www.youtube.com/watch?v=Nr4-FT6HcBA,inappropriate,Adult Suggestive Content,"music video showing fire, has romance too",
https://www.youtube.com/watch?v=ZNCpcFEjpdI,irrelevant,Machinery,wind farm parts ad,
https://www.youtube.com/watch?v=H7elDSRHiGA,inaudible,Different Language,"song eappars to be in korean/chinese/japanese, features a girl and boy singing",
https://www.youtube.com/watch?v=Ucog1ghGMUM,irrelevant,Machinery,ad pertains to Tisco Steel,
https://www.youtube.com/watch?v=NuKNRFi-sJw,inappropriate,Interpersonal Violence,"shows parental figures pushing pulling child, bullying, display of weapons too, slapping",
https://www.youtube.com/watch?v=UrEfux-8OX4,irrelevant,Fashion,lawn collection modelling for local pak brand,
